date and time now = 24/02/2021 15:03:08
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
FUV               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    19.090          6.056         -14.615        16.700  23517914        Recreational Vehicles                   0.21450001
LAND              532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    18.820          4.093          14.822       -40.112  21760857        REIT—Industrial                         0.0179
NGA               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    18.940         -1.150         -26.256       -59.197  N/A             Shell Companies                         N/A
NIU               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    39.340          1.497          -7.950       -65.221  39420352        Auto Manufacturers                      N/A
GIK               531       0       531       531          0               532                     -1         0            0                    0              0                       0              0             0    12.730         -0.625         -14.525       -64.437  N/A             Shell Companies                         N/A
ASRT              520     371       149      -222          5                 0                     42         0            0                    0            347                     131              0             0     0.963          4.630          23.563       -21.174  105444453       Drug Manufacturers—Specialty & Generic  0.0222
ITM               516       0       516       516          0                 0                    516         0            0                    0              0                       0              0             0    51.190         -0.428          -1.665       -37.310  N/A             N/A                                     N/A
ANTI              496       0       496       496          3                 0                    496         0            0                    0              0                       0              0             0     0.050         -9.091         115.093       -83.336  N/A             Biotechnology                           N/A
CHWY              495       0       495       495         16               495                      0         0            0                    0              0                       0              0             0   105.160         -4.208          -0.150       -38.161  77070018        Internet Retail                         0.157
CHW               495       0       495       495         16               495                      0         0            0                    0              0                       0              0             0    10.170          0.693           3.298       -47.063  N/A             Asset Management                        0.0023
FUD               470       2       468       466          0                 0                      0       471            0                   -1              0                       0              0             0    17.380          1.164           0.000       603.774  N/A             N/A                                     N/A
SEE               468      56       412       356          6                 0                    468         0            0                    0              0                       0              0             0    43.030         -1.012          -3.240       -38.414  153725900       Packaging & Containers                  0.0167
MUST              461     155       306       151         11                -1                    462         0            0                    0              0                       0              0             0    22.280         -0.425          -0.983       -56.799  N/A             N/A                                     N/A
NYC               437     370        67      -303          5                 4                    434         0            0                    0              0                       0             -1             0    10.034          2.176           5.522         9.960  6386622         REIT—Office                             N/A
REAL              435      10       425       415          0                -1                    426         0            0                   10              0                       0              0             0    25.780          3.847           0.872        -9.903  72809433        Specialty Retail                        0.1926
DIA               425     288       137      -151          0                38                      0       236            0                    0              0                       0            151             0   319.310          1.243           2.955        10.422  N/A             N/A                                     N/A
RKT               406     207       199        -8         40               263                     49         0            0                    0              0                      77             17             0    19.960         -0.200          -3.394       -43.130  104277185       Mortgage Finance                        0.3076
ETFM              393     164       229        65          0                 0                     24         0            0                    0            369                       0              0             0     0.017         -2.941        1550.000         0.000  4686808360      Auto & Truck Dealerships                N/A
FUND              374      67       307       240          0               374                      0         0            0                    0              0                       0              0             0     7.800          1.563           3.825       -29.466  N/A             Asset Management                        0.0016
AGTC              371     165       206        41          0                 0                     24         2           63                    0              3                     263             16             0     5.770          6.654          14.025        11.849  36253651        Biotechnology                           0.051
IBM               363       5       358       353          0               358                      0         0            0                    5              0                       0              0             0   122.944          1.851          -0.550       -36.586  890939764       Information Technology Services         0.0301
RIOT              363      79       284       205          0                84                     40         0            0                    0             61                      97             19            62    51.670          5.881          65.431        -8.975  49446718        Software—Application                    0.17940001
SNOW              358       0       358       358          0               358                      0         0            0                    0              0                       0              0             0   270.800          0.639          -6.860       -64.811  36389674        Software—Application                    0.15640001
SJM               353       0       353       353          0               353                      0         0            0                    0              0                       0              0             0   113.510         -0.761          -1.867       -42.843  109526714       Packaged Foods                          0.094399996
OSTK              349     288        61      -227          0                 0                     -1       178            0                    0              0                       0            110            62    73.810        -16.258          -5.882        89.740  42109955        Internet Retail                         0.1099
TSNP              344     250        94      -156          0                 0                     -1         0            0                    0            345                       0              0             0     0.916         -4.114          45.399       -72.148  N/A             Furnishings, Fixtures & Appliances      N/A
TWM               340     340         0      -340          0               340                      0         0            0                    0              0                       0              0             0    14.665         -3.899         -11.294        75.775  N/A             N/A                                     N/A
SYNC              307       0       307       307          0               307                      0         0            0                    0              0                       0              0             0     2.165          0.231          21.409        45.132  27586530        Software—Infrastructure                 0.0011999999
WORK              304     304         0      -304          0                 0                      0         0            0                    0              0                       0            304             0    42.520          0.236          -0.318       -83.238  472392600       Software—Application                    0.1113
