date and time now = 21/02/2021 18:31:18
Ticker      24H Total    Recent    Prev    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
HAS               214       202      12       190          0                31                    147         0            0                    0             36                       0              0             0    90.000         -1.564          -4.888       -21.158  127777392       Leisure                                 0.048
CBD               209       204       5       199          0                38                      0        19           34                    0             94                       5             19             0    16.500          4.298          11.432        29.654  156783223       Department Stores                       N/A
RIDE              207        13     194      -181          0                55                      0       146            0                    0              0                       0              6             0    24.760          0.855          -1.567       -42.029  99482345        Auto Manufacturers                      N/A
NEW               205       137      68        69         19                54                     85         5            0                   28             28                       0              0             5     8.500          1.190          24.539       114.771  42190743        Education & Training Services           N/A
PICK              202       202       0       202          0                 0                    202         0            0                    0              0                       0              0             0    42.890          2.461           8.549        78.665  N/A             N/A                                     N/A
BCRX              186         6     180      -174          1                32                      6       133            0                    0              0                       0             15             0    11.530          6.759          25.256       -24.430  153410806       Biotechnology                           0.192
SOS               181       115      66        49          0                32                     12        15           10                    0             39                       8             65             0    11.270          5.822         183.533       159.362  N/A             Software—Infrastructure                 N/A
EST               178       141      37       104          1                 5                      9         6            0                  136             15                       0              7             0     0.000          0.000           0.000         0.000  N/A             N/A                                     N/A
ICLN              177         7     170      -163          0                 0                      0       168            5                    0              0                       0              4             0    28.490          1.932          -8.268       -10.731  N/A             N/A                                     N/A
CCIV              174        95      79        16          7               117                     16        20            5                    0              6                       0             10             0    52.940         -8.803         102.213        79.444  N/A             Shell Companies                         N/A
APPH              174        11     163      -152          3                10                      9       144            0                    0              0                       0             11             0    35.700          9.914           5.983         8.837  5196859         Farm Products                           N/A
UPWK              165        32     133      -101          0                 0                      0       133            0                    0              0                       0             32             0    56.010          6.140          23.603        59.390  103352353       Staffing & Employment Services          0.0646
PULM              162        81      81         0          0                 0                      0         0            0                    0            110                      52              0             0     1.920         10.345          21.170       175.381  34387527        Biotechnology                           0.0027
GOOD              160         4     156      -152          0               120                     40         0            0                    0              0                       0              0             0    18.630         -0.161           1.516        -5.707  32880173        REIT—Diversified                        0.0099
GTE               158       137      21       116          1                 5                    143         0            0                    0              0                      10              0             0     0.950          2.151          47.321       -17.511  313827947       Oil & Gas E&P                           0.0033000002
FIND              157         0     157      -157          0               157                      0         0            0                    0              0                       0              0             0     0.013         -3.846          73.079       606.565  580069279       Chemicals                               N/A
REAL              156        42     114       -72          0               105                     46         0            0                    0              0                       0              5             0    28.220          1.694          10.820       -34.037  72085180        Specialty Retail                        0.1926
VPN               153       136      17       119          0                 0                      0         0            0                  153              0                       0              0             0    16.240          0.433           2.088       -25.097  N/A             N/A                                     N/A
SANP              153       119      34        85          2                 0                      5         0            0                    0            143                       5              0             0     0.011         13.000         413.430        72.742  N/A             Software—Infrastructure                 N/A
PVDG              151         7     144      -137          0                 0                      0         0            0                    0            151                       0              0             0     0.085          6.500         164.139       -27.073  95624329        Utilities—Renewable                     N/A
NYC               151         0     151      -151          2               134                      0         0            0                    0              0                       0             17             0     9.900         -0.503           4.229       -27.475  6386878         REIT—Office                             N/A
PSTH              150         5     145      -140          0                 5                      0       139            0                    0              0                       0              6             0    29.910         -0.167           3.028        30.657  N/A             Shell Companies                         N/A
CRON              146       134      12       122          0                33                     12        12           33                    0              0                       0             51             5    12.300          4.949          11.800       -34.262  189769814       Drug Manufacturers—Specialty & Generic  0.13949999
CVS               144        84      60        24          0                 0                      0        13           38                    0             84                       0              9             0    70.420         -1.538          -3.909        -7.733  1308627308      Healthcare Plans                        0.0119
